"method","beta","lb","ub","tau","chemical_name","transformation"
"xy_dith",-0.156616788357496,-1.21801281340417,0.90477923668918,0.1,"cadmium.t1.res","binary_x"
"bayes_unadj",-0.273208704443806,-1.02502822830031,0.471539641181122,0.1,"cadmium.t1.res","binary_x"
"bayes_adjv2",-0.273208704443806,-1.35483586167224,0.805525828082919,0.1,"cadmium.t1.res","binary_x"
"riid_nodith",0.999999999999999,-0.621546404247215,0.999999999999999,0.5,"cadmium.t1.res","binary_x"
"xy_nodith",0.999999999999999,-0.157293110876048,2.15729311087605,0.5,"cadmium.t1.res","binary_x"
"riid_dith",0.70342943421565,-0.67409988167224,1.60003766034693,0.5,"cadmium.t1.res","binary_x"
"xy_dith",0.70342943421565,-0.457128447085417,1.86398731551672,0.5,"cadmium.t1.res","binary_x"
"bayes_unadj",0.529683470997488,-0.0789696299382796,1.11934790494493,0.5,"cadmium.t1.res","binary_x"
"bayes_adjv2",0.529683470997488,-0.571195653606903,1.62929871885875,0.5,"cadmium.t1.res","binary_x"
"riid_nodith",1,-0.874754854082089,3.75201378222385,0.9,"cadmium.t1.res","binary_x"
"xy_nodith",1,-1.14276195557101,3.14276195557101,0.9,"cadmium.t1.res","binary_x"
"riid_dith",0.893247265911971,-0.956417754163837,3.64439859489332,0.9,"cadmium.t1.res","binary_x"
"xy_dith",0.893247265911971,-1.16405307681316,2.95054760863711,0.9,"cadmium.t1.res","binary_x"
"bayes_unadj",1.23396356749872,0.136733964681589,2.34529926007819,0.9,"cadmium.t1.res","binary_x"
"bayes_adjv2",1.23396356749872,-1.08429250868789,3.55400483616168,0.9,"cadmium.t1.res","binary_x"
"riid_nodith",0.5,-0.941644151608363,1.43449907007437,0.1,"lead.t1.res","binary_x"
"xy_nodith",0.5,-0.590051423736057,1.59005142373606,0.1,"lead.t1.res","binary_x"
"riid_dith",-0.13265943445731,-0.952978878127842,1.36636677866867,0.1,"lead.t1.res","binary_x"
"xy_dith",-0.13265943445731,-1.28178883088776,1.01646996197314,0.1,"lead.t1.res","binary_x"
"bayes_unadj",0.350459494753616,-0.434082545038316,1.11331881183179,0.1,"lead.t1.res","binary_x"
"bayes_adjv2",0.350459494753616,-0.800753075584154,1.49926684506455,0.1,"lead.t1.res","binary_x"
"riid_nodith",8.04911692853238e-16,-1.14540932183757,1.5532740237913,0.5,"lead.t1.res","binary_x"
"xy_nodith",8.04911692853238e-16,-1.30669109076005,1.30669109076006,0.5,"lead.t1.res","binary_x"
"riid_dith",0.119516412261873,-0.97753883683455,1.43884351943779,0.5,"lead.t1.res","binary_x"
"xy_dith",0.119516412261873,-1.073100842908,1.31213366743175,0.5,"lead.t1.res","binary_x"
"bayes_unadj",0.158440393241684,-0.49048580320961,0.825868223400693,0.5,"lead.t1.res","binary_x"
"bayes_adjv2",0.158440393241684,-1.22000688720265,1.5372452295106,0.5,"lead.t1.res","binary_x"
"riid_nodith",0.333333333333334,-1.47611142555653,1.93431574274058,0.9,"lead.t1.res","binary_x"
"xy_nodith",0.333333333333334,-1.69029628111438,2.35696294778105,0.9,"lead.t1.res","binary_x"
"riid_dith",0.04157490003854,-1.71287018334768,1.7561812749345,0.9,"lead.t1.res","binary_x"
"xy_dith",0.04157490003854,-1.84697721803305,1.93012701811013,0.9,"lead.t1.res","binary_x"
"bayes_unadj",0.253791840035896,-0.732546449207229,1.27666981139445,0.9,"lead.t1.res","binary_x"
"bayes_adjv2",0.253791840035896,-1.66820758499733,2.17078833529142,0.9,"lead.t1.res","binary_x"
"riid_nodith",-0.666666666666665,-1.41526478356286,0.758196610486484,0.1,"mercury.t1.res","binary_x"
"xy_nodith",-0.666666666666665,-1.8565210047692,0.523187671435873,0.1,"mercury.t1.res","binary_x"
"riid_dith",-0.509503933872717,-1.33000442726515,0.481451994106273,0.1,"mercury.t1.res","binary_x"
"xy_dith",-0.509503933872717,-1.56423381563507,0.545225947889631,0.1,"mercury.t1.res","binary_x"
"bayes_unadj",-0.280894912711111,-1.07284398276782,0.521512869825311,0.1,"mercury.t1.res","binary_x"
"bayes_adjv2",-0.280894912711111,-1.46776995255121,0.899162168500711,0.1,"mercury.t1.res","binary_x"
"riid_nodith",-0.333333333333335,-1.7159857520162,0.920633421371225,0.5,"mercury.t1.res","binary_x"
"xy_nodith",-0.333333333333335,-1.61102035235496,0.94435368568829,0.5,"mercury.t1.res","binary_x"
"riid_dith",-0.371113399160095,-1.46529625894893,0.892506333407406,0.5,"mercury.t1.res","binary_x"
"xy_dith",-0.371113399160095,-1.63429650777455,0.892069709454362,0.5,"mercury.t1.res","binary_x"
"bayes_unadj",-0.314916915456948,-0.95814028116006,0.316459507022263,0.5,"mercury.t1.res","binary_x"
"bayes_adjv2",-0.314916915456948,-1.56569168136816,0.93617801478193,0.5,"mercury.t1.res","binary_x"
"riid_nodith",-1.33333333333333,-3.41207753256996,0.123424253549079,0.9,"mercury.t1.res","binary_x"
"xy_nodith",-1.33333333333333,-3.24424313968426,0.577576473017597,0.9,"mercury.t1.res","binary_x"
"riid_dith",-1.41288552735932,-2.84190169513714,-0.150336372214484,0.9,"mercury.t1.res","binary_x"
"xy_dith",-1.41288552735932,-3.32680965711408,0.501038602395434,0.9,"mercury.t1.res","binary_x"
"bayes_unadj",-1.39230816794599,-2.33336071166189,-0.391977298668649,0.9,"mercury.t1.res","binary_x"
"bayes_adjv2",-1.39230816794599,-3.1315552331561,0.347877070002747,0.9,"mercury.t1.res","binary_x"
